artist,title,country,sales,released,label,formats
Beyoncé,Dangerously in Love,World,11000000,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download"
Beyoncé,Dangerously in Love,US,5100000,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download"
Beyoncé,Dangerously in Love,UK,1260000,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download"
Beyoncé,B'Day,World,8000000,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,B'Day,US,3610000,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,B'Day,UK,700000,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,I Am... Sasha Fierce,World,8000000,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,I Am... Sasha Fierce,US,3380000,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,I Am... Sasha Fierce,UK,1740000,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,4,US,1500000,"June 24, 2011","Parkwood, Columbia","CD, digital download"
Beyoncé,4,UK,791000,"June 24, 2011","Parkwood, Columbia","CD, digital download"
Beyoncé,Beyoncé,World,5000000,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
Beyoncé,Beyoncé,US,2512000,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
Beyoncé,Beyoncé,UK,418000,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
